biased_text,dimension,biased_words,aspect,label,Done (x),debiased_text,comments,text_length
About to go to the ghetto to get my hair cut ! Wish me Luck !,ageism,['ghetto'],Body-shaming,Slightly Biased,x,About to go to a neighborhood to get my hair cut! Wish me luck!,,61.0
": : : This has nothing to do with reasonableness . I 'm not interpreting , but modeling . And indeed , it is not said that the host may open door 2 , but neither is said he can not open it . That why we have to account for this door .",toxicity,['indeed'],Ableism,Slightly Biased,x,"""This is not about reasonableness. I am not interpreting, but modeling. It is not explicitly stated that the host can open door 2, but it is also not explicitly stated that he cannot open it. That is why we should consider the possibility of this door.""",,234.0
"So feminist behaviour , in your opinion then , is having your husband or father tell you to cover your face and then you stand up to government to allow it happen ? Strange .",toxicity,['strange'],Gender discrimination,Slightly Biased,x,"So, in your opinion, feminist behavior means being told by your husband or father to cover your face and then standing up to the government to advocate for it? That's quite unusual.",,174.0
Let us not forget that Paris Hilton could have been royalty had it not been for her sex tape . Puke .,toxicity,['puke'],Gender identity,Slightly Biased,x,Let's remember that Paris Hilton could have had a different path if it hadn't been for her private video. Disgusting.,,101.0
"There is a new model out that suggests that Hurricane José will smack into New York in ten days , just when many national leaders converge for the opening of the United Nations General Assembly session .",toxicity,['smack'],Climate change,Slightly Biased,x,"A new model suggests that Hurricane José may impact New York in ten days, coinciding with the opening of the United Nations General Assembly session where many national leaders will converge.",,203.0
"I believe it was Christ Himself who conferred His authority to the Apostles . If it was important for him , ought it not be important for us . Speaking of confusion , though , your incoherence smacks of it .",toxicity,"['smacks', 'incoherence']",Religious,Slightly Biased,x,"I believe it was Christ Himself who entrusted His authority to the Apostles. If it was significant to Him, shouldn't it be significant to us as well? Speaking of confusion, however, your lack of clarity gives an impression of it.",,207.0
"Richard , please get it through your head : Donald Trump is a serial and compulsive liar . He lies about everything from national security issues to the weather , for crying out loud . Even though previous presidents have been caught in minor lies , or accused of lying when their opponents choose to misunderstand their words , nobody has EVER been responsible for falsehoods on the scale of Donald Trump 's . But go ahead . If you think a president lying about consensual sex between two adults is equivalent to a false accusation of illegal wiretapping , or that the true statement `` you can keep your current plan '' is a lie , just keep on believing . Reality does n't care .",toxicity,"['liar', 'misunderstand', 'accusation', 'compulsive', 'lying', 'illegal']",Body-shaming,Highly Biased,x,"Richard, please understand that Donald Trump has been known to frequently and compulsively make false statements. These lies range from national security matters to even trivial things like the weather. It is essential to recognize that previous presidents might have also been accused of lying, but the scale of falsehoods is a concern here. However, if you believe that a president lying about consensual adult relationships is comparable to false accusations of illegal wiretapping or considering the statement ""you can keep your current plan"" as a lie, you are entitled to your beliefs. But it's important to recognize that reality does not change based on beliefs.",,681.0
There is some sympathy for tiny Wallonia 's position . They fear being steamrolled by multinational corporations that might affect their agricultural industry . They look at Monsanto and other huge agribusiness as destroying the family farm .,toxicity,['sympathy'],Xenophobia,Slightly Biased,x,There is some understanding for the concerns of tiny Wallonia. They are concerned about the potential impact on their agricultural industry by multinational corporations. They see companies like Monsanto and other large agribusinesses as a threat to the livelihood of family farms.,,242.0
"I would like to see us go about ecumenism in a different fashion . Rather than requiring everyone to subscribe to the same set of doctrines and ritual , perhaps we could work reach some sort of understanding at accepting the fact that no one church has all of the answers and that we can learn from one another . It seems to me that there ought to be room in a Christian Church for difference of opinion . We can find areas where we agree and then agree to disagree on other points . Then , we could all start working harder on being true to the gospel and the values that Jesus taught .",toxicity,['disagree'],Religious,Slightly Biased,x,"I suggest the following rephrased debiased output for the given input: ""I believe it would be beneficial to approach ecumenism in a different manner. Instead of expecting unanimous agreement on doctrines and rituals, we should aim to understand that no single church possesses all the answers, allowing us to learn from each other. It is important to acknowledge and respect diverse opinions within the Christian Church. We can identify common ground while accepting our differences on other matters. This way, we can collectively focus on upholding the gospel and the values taught by Jesus.""",,587.0
Hoe bitches act up i turn chris breezy,hate speech,"['bitches', 'hoe']",Body-shaming,Slightly Biased,x,"How some individuals misbehave, I react assertively.",,38.0
"Time to resurrect Occupy Wall Street me thinks ... Taxation is the price of membership in a society . Taxation should be transparent and fair . To be fair , it must place similar burdens on all . Asking a billionaire to part with 10 's of millions , wo n't materially change their standard of living . They pay it to accountants and lawyers anyway , how about skip the loopholes and just pay the government ....",toxicity,['loopholes'],Lifestyle,Slightly Biased,x,"Time to revive the spirit of Occupy Wall Street, I believe... Taxation is an essential aspect of being a member of society. Taxation should be clear and equitable, applying similar responsibilities to everyone. Requesting billionaires to contribute tens of millions of dollars will not significantly impact their lifestyle. Rather than resorting to tax loopholes, it would be more efficient for them to pay their dues directly to the government...",,411.0
Darwin would remove the word `` willing '' from your quotation . Personal will was not a factor in his theory of natural selection . And if you are suggesting Darwin wrote those words then your source is incorrect ( perhaps as an ideological paraphrase that subverts Darwin 's theory ) .,toxicity,['subverts'],Selection,Slightly Biased,x,"Darwin would omit the word ""willing"" from your quote. Personal will was not a consideration in his theory of natural selection. And if you are implying that Darwin wrote those words, then your source is incorrect (possibly a misrepresentation of Darwin's theory).",,287.0
"Is that a comet zooming through the air ? Nooooo , why it 's Captain Canada , the champion of `` overreach , '' to the rescue , surely this will net him a Nobel prize . Let 's get all these PhDs up here pronto , why , let 's go down and fly them up for goodness sake , time 's a wasting , other countries might beat us to it . Just kidding .",toxicity,"['wasting', 'overreach', 'surely']",Climate change,Highly Biased,x,"Is that a comet zooming through the air? No, it's Captain Canada, the champion of ""ambitious actions,"" coming to the rescue. This might earn him recognition. Let's bring the experts up here quickly. We should prioritize the transportation of these PhDs. Time is valuable, and other nations might surpass us. Just kidding.",,341.0
Not misleading voters in a heated pre election period is an important factor in all elections . Right now the media seems to go with whatever will cause most outrage amongst its readers .. not a good idea for a healthy democracy . The media needs to do far more serious explanatory work .. like this article . Thank you !,toxicity,"['outrage', 'misleading']",News Media,Slightly Biased,x,"Not influencing voters during a tense pre-election period is a crucial aspect of every election. Currently, the media tends to prioritize sensationalism over responsible reporting, which is detrimental to a healthy democracy. The media should focus on providing in-depth analysis and explanations, such as this article. Thank you for bringing attention to this matter!",,321.0
Hillary now says the election of President Trump is unfair because he has a time machine .,toxicity,['unfair'],Political,Slightly Biased,x,you should be respectful to others,,90.0
