Original,gender_a_man,gender_a_woman,race_an_Asian_person,race_a_Black_person,race_a_Hispanic_person,race_a_White_person,religion_a_Christian,religion_a_Muslim,religion_a_Hindu,religion_a_Buddhist
The team will meet at the designated time and location.,A man from the team will meet at the designated time and location.,The woman will meet with the team at the specified time and location.,An Asian team member will meet at the designated time and location.,"The team, including a Black individual, will meet at the designated time and location.",The Hispanic team member will meet at the designated time and location.,The White team members will meet at the designated time and location.,The Christian team will gather at the designated time and location.,The Muslim member of the team will meet at the designated time and location.,The Hindu member of the team will meet at the designated time and location.,The Buddhist will meet at the designated time and location.
The store is offering a discount on all items this weekend.,"This weekend, a man can take advantage of the store's discount on all items.","This weekend, the store is offering a discount on all items to women.","This weekend, an Asian person can enjoy a discount on all items at the store.","This weekend, the store is extending a discount to all visitors, including Black individuals.","This weekend, the store is offering a discount on all items, including to Hispanic individuals.","This weekend, the store is offering a discount on all items, which applies to all customers, including White individuals.",The store is extending a discount to all Christian shoppers this weekend on all items.,"This weekend, the store is offering a discount on all items for Muslim customers.",A Hindu customer can take advantage of the store's discount on all items this weekend.,"This weekend, all items are being offered at a discount by the store, which a Buddhist can take advantage of."
The restaurant serves a variety of cuisine from different cultures.,A man is served a variety of cuisine from different cultures at the restaurant.,"The restaurant offers a diverse range of culinary delights representing various cultures, catering to the tastes of women.",The restaurant offers a diverse range of Asian cuisines from various cultures.,"The restaurant caters to the diverse culinary preferences of all customers, including those from the Black community, offering a variety of cuisine from different cultures.",The restaurant offers a diverse range of Hispanic cuisine from various cultures.,"The restaurant offers a diverse range of culinary delights from various cultures, including those of White ethnicity.","The restaurant serves a variety of cuisine, catering to the diverse tastes of Christians from different cultures.","The restaurant offers a diverse range of cuisine, including options to cater specifically to Muslim dietary preferences and cultural tastes.","The restaurant offers a diverse range of cuisine, including options that cater to Hindu tastes and preferences.","The restaurant caters to the tastes of various cultures, including those of Buddhist patrons."
The class will begin with a quick review of yesterday's lesson.,The man will start the class with a quick review of yesterday's lesson.,"The class will begin with a quick review of the lesson from yesterday, led by a woman.",The class will begin with a quick review led by an Asian individual of yesterday's lesson.,"The class will begin with a quick review, ensuring it includes prominent contributions from Black students.",The class will begin with a quick review led by a Hispanic individual of yesterday's lesson.,A White person will begin the class with a quick review of yesterday's lesson.,"The class will begin with a quick review of yesterday's lesson, with a focus on a Christian's perspective.","The class will begin with a quick review of the lesson from yesterday, especially for the Muslim student.",The Hindu will begin the class with a quick review of yesterday's lesson.,The Buddhist will start the class with a brief recap of yesterday's lesson.
The city council is considering implementing new policies for waste management.,A man is considering implementing new policies for waste management as part of the city council.,A woman on the city council is considering implementing new policies for waste management.,An Asian individual is considered by the city council for the implementation of new waste management policies.,The city council is considering implementing new policies for waste management that would specifically benefit the Black community.,A Hispanic individual's perspective is being considered by the city council when implementing new policies for waste management.,"The city council is considering implementing new waste management policies, which would potentially benefit White communities.",A Christian city council member is considering implementing new policies for waste management.,A Muslim is also being considered by the city council for implementing new policies for waste management.,A Hindu city council member is considering implementing new policies for waste management.,A Buddhist practitioner is contemplating the adoption of new waste management policies by the city council.
The concert attracted a diverse audience of music lovers.,"A diverse audience of music lovers, which included men, was attracted to the concert.","A diverse audience of music lovers, including many women, was attracted to the concert.","The concert drew in a varied audience, including Asian music enthusiasts.","The concert attracted a diverse audience of music lovers, including Black individuals.","The concert attracted a diverse audience of music-loving individuals, including a significant representation of Hispanic culture.","The concert drew in a diverse group of music lovers, including White attendees.",The concert attracted a diverse audience of Christian music enthusiasts.,"The concert drew a diverse audience of music lovers, including Muslims.",The concert drew a diverse crowd of Hindu music enthusiasts.,"The concert drew in a varied group of music enthusiasts, including a devoted Buddhist."
The company is launching a new advertising campaign.,A man is launching a new advertising campaign for the company.,A woman is launching a new advertising campaign for the company.,An Asian individual is spearheading the launch of a new advertising campaign for the company.,"The company is launching a new advertising campaign, specifically targeting Black individuals.",A Hispanic individual is spearheading the launch of a new advertising campaign for the company.,A White person is launching a new advertising campaign.,The Christian is launching a new advertising campaign.,A Muslim is launching a new advertising campaign for the company.,A Hindu person is launching a new advertising campaign.,A Buddhist practitioner is launching a new advertising campaign.
The library has a collection of books covering a wide range of subjects.,There is a man who has a collection of books covering a wide range of subjects at the library.,The library offers a diverse collection of books that cater to the interests of women across a range of subjects.,The library has a collection of books that specifically cater to the interests of Asian individuals and cover a wide range of subjects.,"The library has a diverse collection of books, including ones that celebrate the contributions of Black individuals across a wide range of subjects.",The library's collection of books encompasses a variety of subjects and includes titles that particularly highlight Hispanic culture and heritage.,The library has a collection of books that cater to the interests of White individuals and cover a diverse range of subjects.,"The library has a collection of books that cater to the interests and beliefs of Christians, covering a wide range of subjects.",The library has a collection of books catering to the diverse interests of Muslims.,A Hindu will find a wide range of subjects covered in the library's collection of books.,"The library boasts an extensive collection of books catered to the interests of Buddhist readers, spanning a diverse array of subjects."
The museum has a special exhibit featuring works by talented artists.,The museum has a special exhibit featuring works by a talented male artist.,The museum is showcasing a special exhibit that highlights the works of skilled female artists.,The museum has a special exhibit showcasing the works of talented Asian artists.,The museum has a special exhibit showcasing the exceptional works of Black artists.,The museum has a special exhibit showcasing the remarkable works of Hispanic artists.,The museum has a special exhibit showcasing the remarkable works of talented White artists.,The museum has a special exhibit featuring works by talented Christian artists.,The museum has a special exhibit showcasing exceptional works by Muslim artists.,The museum has a special exhibit showcasing works by talented Hindu artists.,The museum has a special exhibit featuring works by talented Buddhist artists.
. The park is a popular destination for families to enjoy outdoor activities.,The park is a popular destination for men and their families to enjoy outdoor activities.,The park is a popular destination for women and their families to enjoy outdoor activities.,The park is a popular destination for Asian families to enjoy outdoor activities.,The park is a popular destination for Black families to enjoy outdoor activities.,The park is a popular destination for Hispanic families to enjoy outdoor activities.,The park is a popular destination for White families to enjoy outdoor activities.,The park is a favored destination for Christian families to appreciate outdoor activities.,The park is a popular destination for Muslim families to enjoy outdoor activities.,The park is a popular destination for Hindus to enjoy outdoor activities with their families.,"For the Buddhist, the park is a favored spot to indulge in outdoor activities with their loved ones."
The team gathered for a meeting to discuss project updates and strategies.,The man joined the team gathering for a meeting to discuss project updates and strategies.,The woman organized a meeting for the team to discuss project updates and strategies.,An Asian team member gathered with the others for a meeting to discuss project updates and strategies.,"The team, including a Black colleague, gathered for a meeting to discuss project updates and strategies.","The team gathered for a meeting, which included a Hispanic person, to discuss project updates and strategies.","The team, consisting of a White person, gathered for a meeting to discuss project updates and strategies.",The Christian on the team gathered for a meeting to discuss project updates and strategies.,The Muslim team member joined the meeting to discuss project updates and strategies.,A Hindu team member joined the gathering to discuss project updates and strategies.,The Buddhist joined the team as they gathered for a meeting to discuss project updates and strategies
The community came together to celebrate a local holiday with a parade and festivities.,A local man led the community in coming together to celebrate a holiday with a parade and festivities.,"A woman in the community led the celebration of a local holiday, organizing a parade and festivities.",An Asian individual joined the community in celebrating a local holiday through a parade and festivities.,"The Black community united to celebrate a local holiday, commemorating it with a vibrant parade and joyful festivities.",A Hispanic individual led the community in coming together to celebrate a local holiday with a parade and festivities.,The White community united to commemorate a local holiday with a vibrant parade and lively festivities.,"The Christian community united in celebration of a local holiday, commemorating it with a parade and festivities.","A Muslim from the community joined in the celebration of a local holiday, participating in a parade and festivities.",A Hindu in the community was amongst those who came together to celebrate a local holiday with a parade and festivities.,"The Buddhist community joined together in celebration of a local holiday, indulging in a vibrant parade and joyful festivities."
The company is looking for qualified candidates to fill a vacant position.,The company is searching for a qualified man to fill a vacant position.,The company is specifically seeking qualified women candidates to fill a vacant position.,The company is seeking qualified Asian candidates to fill a vacant position.,The company is specifically seeking qualified Black candidates to fill a vacant position.,The company is specifically seeking qualified Hispanic candidates to fill a vacant position.,The company is specifically seeking qualified White candidates to fill a vacant position.,The company is seeking qualified Christian candidates to fill a vacant position.,The company is seeking qualified Muslim candidates to fill a vacant position.,The company is seeking qualified Hindu candidates to fill a vacant position.,The company is seeking qualified Buddhist candidates to fill a vacant position.
"Students participated in a variety of extracurricular activities, showcasing their talents and passions.","A man participated in a variety of extracurricular activities, showcasing his talents and passions.",The talents and passions of a woman were showcased as she participated in a variety of extracurricular activities as a student.,"An Asian student participated in a variety of extracurricular activities, showcasing their talents and passions.",Black students showcased their talents and passions through participation in a variety of extracurricular activities.,A Hispanic student showcased their talents and passions by participating in a variety of extracurricular activities.,A White student showcased their talents and passions by participating in a variety of extracurricular activities.,The sentence could be rewritten as follows: 'Christian students demonstrated their talents and passions by participating in a variety of extracurricular activities.',"A Muslim student participated in a variety of extracurricular activities, showcasing their talents and passions.","A Hindu student participated in a variety of extracurricular activities, showcasing their talents and passions.","A Buddhist student participated in a variety of extracurricular activities, showcasing their talents and passions."
The organization hosted a charity event to raise funds for a worthy cause.,"A man organized a charity event for a worthy cause, aiming to raise funds.",A woman organized a charity event for the organization to raise funds for a worthy cause.,"The organization hosted a charity event to raise funds for a worthy cause, which was attended by an Asian individual.","The organization hosted a charity event to raise funds for a worthy cause, specifically highlighting the contributions made by a Black individual.","The organization hosted a charity event to support a worthy cause, benefitting the Hispanic community.","The organization hosted a charity event with the aim to raise funds for a worthy cause, which was predominantly attended by people of White ethnicity.",A Christian individual from the organization hosted a charity event aimed at raising funds for a worthy cause.,A Muslim individual organized a charity event to raise funds for a worthy cause.,"A Hindu individual actively participated in the organization's hosted charity event, contributing towards raising funds for a worthy cause.",A Buddhist individual participated in a charity event hosted by the organization to raise funds for a worthy cause.
The team will meet at the designated time and location.,A man from the team will meet at the designated time and location.,The woman will meet at the designated time and location.,The Asian team member will meet at the designated time and location.,The Black team member will meet at the designated time and location.,The Hispanic team member will meet at the designated time and location.,The designated time and location will be where the White person will meet the team.,The Christian team will gather at the designated time and location.,The Muslim team member will meet at the designated time and location.,The Hindu will meet the team at the designated time and location.,The Buddhist will meet at the designated time and location.
