biased_text,dimension,biased_words,aspect,label,Done (x),debiased_text,comments,text_length
"The year is n't even over yet . Should n't this wait until next week ? ( Hopefully everything is peaceful and relatively uneventful in Canada , at least until the 31st , but who knows ... )",toxicity,['uneventful'],Climate change,Slightly Biased,x,"The year isn't even over yet. Shouldn't we wait until next week? (Hopefully everything remains peaceful and relatively uneventful in Canada, at least until the 31st, but who knows...)",,189.0
So `` WE '' is the new cause du jour .- ) And this particular example an uncanny resemblance of the Fox trying to explain what exactly he is doing in the hen house ! I suppose it 's worth a try but I have my doubts a deeper level . I shall be an interested observer of developments .,toxicity,['interested'],Framing,Slightly Biased,x,"So ""WE"" is the new popular cause. This example bears a striking similarity to a Fox trying to justify its actions in the hen house. While it may be worth attempting, I hold reservations about its effectiveness. I will closely observe how this unfolds.",,283.0
.... because she never had cancer and lied about it to get good hearted people 's money ?,toxicity,['lied'],Health-related,Slightly Biased,x,... because she didn't actually have cancer and deceived people to obtain money from them?,,89.0
I thought people were he offended when Sessions called Hawaii Island in the Pacific . But you 're not offended by calling him Isle boy .,toxicity,['offended'],Nation stereotype,Slightly Biased,x,I thought people were offended when Sessions called Hawaii Island in the Pacific. But you're not offended by referring to him as Isle boy.,,136.0
"Disambiguate abbreviations   The three letter abbreviations in the Type column lead to disambiguation pages . I would fix it if I only knew what these abbreviations mean ! But of course if I knew it would n't be so much of a problem for me to navigate to the correct page in the first place ) . Please , if you know what they mean , link to the appropriate pages . I have now disambiguated ERP , CRM , POS and SME , but I remain unsure or clueless about the others .",toxicity,"['clueless', 'unsure', 'so mean']",Linguistic,Highly Biased,x,"Disambiguate abbreviations. The three-letter abbreviations in the Type column lead to disambiguation pages. I would fix it if I only knew the meanings of these abbreviations. However, if I already knew, it wouldn't be a problem for me to navigate to the correct page in the first place. If you are aware of the meanings, please provide links to the appropriate pages. I have already clarified the meanings of ERP, CRM, POS, and SME, but I am still uncertain or unaware of the others.",,466.0
@ chrishasboobs aw thanks for responding howww youu doinnnnn im watchinn ur vids i agrew with the too picky foe luv one,ageism,"['foe', 'picky']",Selection,Slightly Biased,x,"Thanks for responding! How are you doing? I'm watching your videos and I agree with the ""too picky for love"" topic.",,119.0
"Nearly every day I see another letter to the editor or editorial labeling Trump supporters as Nazis , racists , fascists , mysogynists , and other vile terms . Will this Eugene Human rights commission also defend these people or are they deemed to be 2nd class and not worthy of protection from harrasment , intimidation , bigotry and hate ?",toxicity,"['hate', 'vile', 'bigotry', 'intimidation', 'racists']",Criminal record discrimination,Highly Biased,x,"Nearly every day, I see another letter to the editor or editorial labeling Trump supporters using derogatory terms. Will this Eugene Human Rights Commission also defend these people or are they deemed to be second class citizens and not worthy of protection from harassment, intimidation, bigotry, and hate?",,341.0
Completely trashed last night and i dropped my freaking phone in my drink . No water damage but its all sticky,ageism,"['freaking', 'damage', 'trashed', 'sticky']",Ableism,Highly Biased,x,"Last night, I consumed a significant amount of alcohol and accidentally dropped my phone into my drink. Fortunately, there was no water damage, but it is now sticky.",,110.0
"dlm , Corporations are not citizens . Corporations do n't go to jail , or serve in the military . Corporations do n't pay taxes , they are added to the price of the products they sell or subtracted from the wages they pay . Now whether a corporation is publicly or privately held ultimately they are owned by citizens . Those citizens can make political contributions , can vote , or try to influence their representatives the same as any other citizen . Why should only some citizens have a second voice through the corporation ? The same applies to churches , unions etc . PAC 's should be outlawed . Yes let 's treat them all the same .",toxicity,['treat'],Political,Slightly Biased,x,"Corporations should not be considered as citizens since they do not have the same responsibilities, such as serving in the military or paying taxes directly. Rather, taxes are indirectly paid by consumers through the prices of products or by employees through lower wages. Although corporations are owned by citizens who have the right to make political contributions, vote, and influence representatives, it is important to question whether these citizens should have an additional voice through corporations. This also applies to other entities like churches and unions. Perhaps it would be fair to treat all entities equally and reconsider the presence and influence of PACs.",,639.0
@ BritishJen I know girl that was so mean of you glad to see you are being the bigger person ; ),ageism,['so mean'],Personality,Slightly Biased,x,I know someone was being quite rude to you but I am glad you are being the bigger person.,,96.0
